City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
537,tomatlan,56,MX,1536570514,90,19.93,-105.25,74.56,2.15
538,ornskoldsvik,32,SE,1536569400,82,63.29,18.72,62.6,12.75
539,guerrero negro,0,MX,1536570514,95,27.97,-114.04,68.62,2.71
540,luban,0,CN,1536570515,55,34.19,105.09,67.27,6.73
541,gao,24,ML,1536570515,100,16.28,-0.04,78.07,4.61
542,sabalgarh,64,IN,1536570515,90,26.25,77.41,83.2,9.75
543,hanmer springs,0,NZ,1536570515,100,-42.52,172.83,30.28,2.15
544,khorixas,0,NA,1536570516,32,-20.37,14.96,73.48,5.39
545,college,1,US,1536567960,93,64.86,-147.8,39.02,6.93
546,glotovka,64,RU,1536570516,35,53.95,46.7,74.65,4.61
547,kramat,20,ID,1536566400,40,-7.04,112.64,89.6,17.22
548,uusikaupunki,48,FI,1536569400,67,60.8,21.41,62.6,4.7
549,melenki,90,RU,1536568200,87,55.94,42.98,55.4,8.95
550,nicolas bravo,76,MX,1536570517,100,24.39,-104.74,55.66,3.27
551,sisimiut,88,GL,1536570518,100,66.94,-53.67,32.98,2.37
552,roseland,75,US,1536569580,90,30.76,-90.51,75.02,1.92
553,kachug,80,RU,1536570518,73,53.96,105.89,57.28,3.15
